Date, Open, High, Low, Close
05/19/06, 1267.03, 1272.15, 1256.28, 1267.03
05/18/06, 1261.81, 1274.89, 1261.75, 1261.81
05/17/06, 1270.32, 1291.73, 1267.31, 1270.32
05/16/06, 1292.08, 1297.88, 1288.51, 1292.08
05/15/06, 1294.50, 1294.81, 1284.51, 1294.50
05/12/06, 1291.24, 1305.88, 1290.38, 1291.24
05/11/06, 1305.92, 1322.63, 1303.45, 1305.92
05/10/06, 1322.85, 1325.51, 1317.44, 1322.85
05/09/06, 1325.14, 1326.60, 1322.48, 1325.14
05/08/06, 1324.66, 1326.70, 1322.87, 1324.66
05/05/06, 1325.76, 1326.53, 1312.25, 1325.76
05/04/06, 1312.25, 1315.14, 1307.85, 1312.25
05/03/06, 1307.85, 1313.47, 1303.92, 1307.85
05/02/06, 1313.21, 1313.66, 1305.16, 1313.21
05/01/06, 1305.19, 1317.21, 1303.46, 1305.19
04/28/06, 1310.61, 1316.04, 1306.16, 1310.61
04/27/06, 1309.72, 1315.00, 1295.57, 1309.72
04/26/06, 1305.41, 1310.97, 1301.74, 1305.41
04/25/06, 1301.74, 1310.79, 1299.17, 1301.74
04/24/06, 1308.11, 1311.28, 1303.79, 1308.11
04/21/06, 1311.28, 1317.67, 1306.59, 1311.28
04/20/06, 1311.46, 1318.16, 1306.38, 1311.46
04/19/06, 1309.93, 1310.39, 1302.79, 1309.93
04/18/06, 1307.65, 1309.02, 1285.33, 1307.65
04/17/06, 1285.33, 1292.45, 1280.74, 1285.33
04/13/06, 1289.12, 1292.09, 1283.37, 1289.12
04/12/06, 1288.12, 1290.93, 1286.45, 1288.12
04/11/06, 1286.57, 1300.71, 1282.96, 1286.57
04/10/06, 1296.60, 1300.74, 1293.17, 1296.60
04/07/06, 1295.50, 1314.07, 1294.18, 1295.50
04/06/06, 1309.04, 1311.99, 1302.44, 1309.04
04/05/06, 1311.56, 1312.81, 1304.82, 1311.56
04/04/06, 1305.93, 1307.55, 1294.71, 1305.93
04/03/06, 1297.81, 1309.19, 1296.65, 1297.81
03/31/06, 1294.83, 1303.00, 1294.83, 1294.83
03/30/06, 1300.25, 1310.15, 1296.72, 1300.25
03/29/06, 1302.89, 1305.60, 1293.23, 1302.89
03/28/06, 1293.23, 1306.24, 1291.84, 1293.23
03/27/06, 1301.61, 1303.74, 1299.09, 1301.61
03/24/06, 1302.95, 1306.53, 1298.89, 1302.95
03/23/06, 1301.67, 1305.04, 1298.11, 1301.67
03/22/06, 1305.04, 1305.97, 1295.81, 1305.04
03/21/06, 1297.23, 1310.88, 1295.82, 1297.23
03/20/06, 1305.08, 1310.00, 1303.59, 1305.08
03/17/06, 1307.25, 1309.79, 1305.32, 1307.25
03/16/06, 1305.33, 1310.45, 1303.02, 1305.33
03/15/06, 1303.02, 1304.40, 1294.97, 1303.02
03/14/06, 1297.48, 1298.14, 1282.67, 1297.48
03/13/06, 1284.13, 1287.37, 1281.58, 1284.13
03/10/06, 1281.58, 1284.37, 1271.11, 1281.58
03/09/06, 1272.23, 1282.74, 1272.23, 1272.23
03/08/06, 1278.47, 1280.33, 1268.42, 1278.47
03/07/06, 1275.88, 1278.26, 1271.11, 1275.88
03/06/06, 1278.26, 1288.23, 1275.67, 1278.26
03/03/06, 1287.23, 1297.33, 1284.20, 1287.23
03/02/06, 1289.14, 1291.24, 1283.21, 1289.14
03/01/06, 1291.24, 1291.80, 1280.66, 1291.24
02/28/06, 1280.66, 1294.12, 1278.12, 1280.66
02/27/06, 1294.12, 1297.57, 1289.43, 1294.12
02/24/06, 1289.43, 1292.11, 1285.62, 1289.43
02/23/06, 1287.79, 1293.84, 1285.14, 1287.79
02/22/06, 1292.67, 1294.17, 1283.03, 1292.67
02/21/06, 1283.03, 1291.92, 1281.33, 1283.03
02/17/06, 1287.24, 1289.47, 1284.07, 1287.24
02/16/06, 1289.38, 1289.39, 1280.00, 1289.38
02/15/06, 1280.00, 1281.00, 1271.06, 1280.00
02/14/06, 1275.53, 1278.21, 1260.80, 1275.53
02/13/06, 1262.86, 1266.99, 1258.34, 1262.86
02/10/06, 1266.99, 1269.89, 1254.98, 1266.99
02/09/06, 1263.78, 1274.56, 1262.80, 1263.78
02/08/06, 1265.65, 1266.47, 1254.78, 1265.65
02/07/06, 1254.78, 1265.78, 1253.61, 1254.78
02/06/06, 1265.02, 1267.04, 1261.62, 1265.02
02/03/06, 1264.03, 1270.87, 1261.02, 1264.03
02/02/06, 1270.84, 1282.46, 1267.72, 1270.84
02/01/06, 1282.46, 1283.33, 1277.57, 1282.46
01/31/06, 1280.08, 1285.20, 1276.85, 1280.08
01/30/06, 1285.20, 1287.94, 1283.51, 1285.20
01/27/06, 1283.72, 1286.38, 1273.83, 1283.72
01/26/06, 1273.83, 1276.44, 1264.68, 1273.83
01/25/06, 1264.68, 1271.87, 1259.42, 1264.68
01/24/06, 1266.86, 1271.47, 1263.82, 1266.86
01/23/06, 1263.82, 1268.19, 1261.49, 1263.82
01/20/06, 1261.49, 1285.04, 1260.92, 1261.49
01/19/06, 1285.04, 1287.79, 1277.93, 1285.04
01/18/06, 1277.93, 1282.93, 1272.08, 1277.93
01/17/06, 1282.93, 1287.61, 1278.61, 1282.93
01/13/06, 1287.61, 1288.96, 1282.78, 1287.61
01/12/06, 1286.06, 1294.18, 1285.04, 1286.06
01/11/06, 1294.18, 1294.90, 1288.12, 1294.18
01/10/06, 1289.69, 1290.15, 1283.76, 1289.69
01/09/06, 1290.15, 1290.78, 1284.82, 1290.15
01/06/06, 1285.45, 1286.09, 1273.48, 1285.45
01/05/06, 1273.48, 1276.91, 1270.30, 1273.48
01/04/06, 1273.46, 1275.37, 1267.74, 1273.46
01/03/06, 1268.80, 1270.22, 1245.74, 1268.80
12/30/05, 1248.29, 1254.42, 1246.59, 1248.29
12/29/05, 1254.42, 1260.61, 1254.18, 1254.42
12/28/05, 1258.17, 1261.10, 1256.54, 1258.17
12/27/05, 1256.54, 1271.83, 1256.54, 1256.54
12/23/05, 1268.66, 1269.76, 1265.92, 1268.66
12/22/05, 1268.12, 1268.19, 1262.50, 1268.12
12/21/05, 1262.79, 1269.37, 1259.62, 1262.79
12/20/05, 1259.62, 1263.86, 1257.21, 1259.62
12/19/05, 1259.92, 1270.51, 1259.36, 1259.92
12/16/05, 1267.32, 1275.24, 1267.32, 1267.32
12/15/05, 1270.94, 1275.17, 1267.74, 1270.94
12/14/05, 1272.74, 1275.80, 1267.07, 1272.74
12/13/05, 1267.43, 1272.11, 1258.56, 1267.43
12/12/05, 1260.43, 1263.86, 1255.52, 1260.43
12/09/05, 1259.37, 1263.08, 1254.24, 1259.37
12/08/05, 1255.84, 1263.36, 1250.91, 1255.84
12/07/05, 1257.37, 1264.85, 1253.02, 1257.37
12/06/05, 1263.70, 1272.89, 1262.09, 1263.70
12/05/05, 1262.09, 1265.08, 1258.12, 1262.09
12/02/05, 1265.08, 1266.85, 1261.42, 1265.08
12/01/05, 1264.67, 1266.17, 1249.48, 1264.67
11/30/05, 1249.48, 1260.93, 1249.39, 1249.48
11/29/05, 1257.48, 1266.18, 1257.46, 1257.48
11/28/05, 1257.46, 1268.44, 1257.17, 1257.46
11/25/05, 1268.25, 1268.78, 1265.54, 1268.25
11/23/05, 1265.61, 1270.64, 1259.51, 1265.61
11/22/05, 1261.23, 1261.90, 1251.40, 1261.23
11/21/05, 1254.85, 1255.89, 1246.90, 1254.85
11/18/05, 1248.27, 1249.58, 1240.71, 1248.27
11/17/05, 1242.80, 1242.96, 1231.21, 1242.80
11/16/05, 1231.21, 1232.24, 1227.18, 1231.21
11/15/05, 1229.01, 1237.94, 1226.41, 1229.01
11/14/05, 1233.76, 1237.20, 1231.78, 1233.76
11/11/05, 1234.72, 1235.70, 1230.72, 1234.72
11/10/05, 1230.96, 1232.41, 1215.05, 1230.96
11/09/05, 1220.65, 1226.59, 1216.53, 1220.65
11/08/05, 1218.59, 1222.81, 1216.08, 1218.59
11/07/05, 1222.81, 1224.18, 1217.29, 1222.81
11/04/05, 1220.14, 1222.52, 1214.45, 1220.14
11/03/05, 1219.94, 1224.70, 1214.76, 1219.94
11/02/05, 1214.76, 1215.17, 1201.07, 1214.76
11/01/05, 1202.76, 1207.34, 1201.66, 1202.76
10/31/05, 1207.01, 1211.43, 1198.41, 1207.01
10/28/05, 1198.41, 1198.41, 1178.90, 1198.41
10/27/05, 1178.90, 1192.65, 1178.89, 1178.90
10/26/05, 1191.38, 1204.01, 1191.38, 1191.38
10/25/05, 1196.54, 1201.30, 1189.29, 1196.54
10/24/05, 1199.38, 1199.39, 1179.59, 1199.38
10/21/05, 1179.59, 1186.46, 1174.92, 1179.59
10/20/05, 1177.80, 1197.30, 1173.30, 1177.80
10/19/05, 1195.76, 1195.76, 1170.55, 1195.76
10/18/05, 1178.14, 1190.10, 1178.13, 1178.14
10/17/05, 1190.10, 1191.21, 1184.48, 1190.10
10/14/05, 1186.57, 1187.13, 1175.44, 1186.57
10/13/05, 1176.84, 1179.56, 1168.20, 1176.84
10/12/05, 1177.68, 1190.02, 1173.65, 1177.68
10/11/05, 1184.87, 1193.10, 1183.16, 1184.87
10/10/05, 1187.33, 1196.52, 1186.12, 1187.33
10/07/05, 1195.90, 1199.71, 1191.46, 1195.90
10/06/05, 1191.49, 1202.14, 1181.92, 1191.49
10/05/05, 1196.39, 1214.47, 1196.25, 1196.39
10/04/05, 1214.47, 1229.88, 1214.02, 1214.47
10/03/05, 1226.70, 1233.34, 1225.15, 1226.70
09/30/05, 1228.81, 1229.57, 1225.22, 1228.81
09/29/05, 1227.68, 1228.70, 1211.54, 1227.68
09/28/05, 1216.89, 1220.98, 1212.72, 1216.89
09/27/05, 1215.66, 1220.17, 1211.11, 1215.66
09/26/05, 1215.63, 1222.56, 1211.84, 1215.63
09/23/05, 1215.29, 1218.83, 1209.80, 1215.29
09/22/05, 1214.62, 1216.64, 1205.35, 1214.62
09/21/05, 1210.20, 1221.52, 1209.89, 1210.20
09/20/05, 1221.34, 1236.49, 1220.07, 1221.34
09/19/05, 1231.02, 1237.91, 1227.65, 1231.02
09/16/05, 1237.91, 1237.95, 1228.42, 1237.91
09/15/05, 1227.73, 1231.88, 1224.85, 1227.73
09/14/05, 1227.16, 1234.74, 1226.16, 1227.16
09/13/05, 1231.20, 1240.57, 1231.20, 1231.20
09/12/05, 1240.56, 1242.60, 1239.15, 1240.56
09/09/05, 1241.48, 1243.13, 1231.67, 1241.48
09/08/05, 1231.67, 1236.36, 1229.51, 1231.67
09/07/05, 1236.36, 1237.06, 1230.93, 1236.36
09/06/05, 1233.39, 1233.61, 1218.02, 1233.39
09/02/05, 1218.02, 1224.45, 1217.75, 1218.02
09/01/05, 1221.59, 1227.29, 1216.18, 1221.59
08/31/05, 1220.33, 1220.36, 1204.40, 1220.33
08/30/05, 1208.41, 1212.28, 1201.07, 1208.41
08/29/05, 1212.28, 1214.28, 1201.53, 1212.28
08/26/05, 1205.10, 1212.40, 1204.23, 1205.10
08/25/05, 1212.39, 1213.73, 1209.57, 1212.39
08/24/05, 1209.59, 1224.15, 1209.37, 1209.59
08/23/05, 1217.57, 1223.04, 1214.44, 1217.57
08/22/05, 1221.73, 1228.96, 1216.47, 1221.73
08/19/05, 1219.71, 1225.08, 1219.02, 1219.71
08/18/05, 1219.02, 1222.64, 1215.93, 1219.02
08/17/05, 1220.24, 1225.63, 1218.07, 1220.24
08/16/05, 1219.34, 1233.87, 1219.05, 1219.34
08/15/05, 1233.87, 1236.24, 1226.20, 1233.87
08/12/05, 1230.39, 1237.81, 1225.87, 1230.39
08/11/05, 1237.81, 1237.81, 1228.33, 1237.81
08/10/05, 1229.13, 1242.69, 1226.58, 1229.13
08/09/05, 1231.38, 1234.11, 1223.13, 1231.38
08/08/05, 1223.13, 1232.28, 1222.67, 1223.13
08/05/05, 1226.42, 1235.86, 1225.62, 1226.42
08/04/05, 1235.86, 1245.04, 1235.15, 1235.86
08/03/05, 1245.04, 1245.86, 1240.57, 1245.04
08/02/05, 1244.12, 1244.69, 1235.35, 1244.12
08/01/05, 1235.35, 1239.10, 1233.80, 1235.35
07/29/05, 1234.18, 1245.04, 1234.18, 1234.18
07/28/05, 1243.72, 1245.15, 1235.81, 1243.72
07/27/05, 1236.79, 1237.64, 1230.15, 1236.79
07/26/05, 1231.16, 1234.42, 1229.03, 1231.16
07/25/05, 1229.03, 1238.36, 1228.15, 1229.03
07/22/05, 1233.68, 1234.19, 1226.15, 1233.68
07/21/05, 1227.04, 1235.83, 1224.70, 1227.04
07/20/05, 1235.20, 1236.56, 1222.91, 1235.20
07/19/05, 1229.35, 1230.34, 1221.13, 1229.35
07/18/05, 1221.13, 1227.92, 1221.13, 1221.13
07/15/05, 1227.92, 1229.53, 1223.50, 1227.92
07/14/05, 1226.50, 1233.16, 1223.29, 1226.50
07/13/05, 1223.29, 1224.46, 1219.64, 1223.29
07/12/05, 1222.21, 1225.54, 1216.60, 1222.21
07/11/05, 1219.44, 1220.03, 1211.86, 1219.44
07/08/05, 1211.86, 1212.73, 1197.20, 1211.86
07/07/05, 1197.87, 1198.46, 1183.55, 1197.87
07/06/05, 1194.94, 1206.11, 1194.78, 1194.94
07/05/05, 1204.99, 1206.34, 1192.49, 1204.99
07/01/05, 1194.44, 1197.89, 1191.33, 1194.44
06/30/05, 1191.33, 1203.27, 1190.51, 1191.33
06/29/05, 1199.85, 1204.07, 1198.70, 1199.85
06/28/05, 1201.57, 1202.54, 1190.69, 1201.57
06/27/05, 1190.69, 1194.33, 1188.30, 1190.69
06/24/05, 1191.57, 1200.90, 1191.45, 1191.57
06/23/05, 1200.73, 1216.45, 1200.72, 1200.73
06/22/05, 1213.88, 1219.59, 1211.69, 1213.88
06/21/05, 1213.61, 1217.13, 1211.86, 1213.61
06/20/05, 1216.10, 1219.10, 1210.65, 1216.10
06/17/05, 1216.96, 1219.55, 1210.93, 1216.96
